--- SHEET: 14. Ước Tính Chi Phí ---

Row 1: # | Hạng mục | MVP (tháng 1-3) | Phase 1 (tháng 4-6) | Phase 2 (tháng 7-12) | Phase 3 (tháng 13-18) | Scale (tháng 19+) | Ghi chú
Row 2: 1 | ☁️ Hosting (Backend) | $20/tháng Railway free→starter | $50/tháng Railway pro | $150/tháng AWS ECS | $500/tháng Kubernetes | $1,500/tháng Multi-region | Auto-scale theo traffic
Row 3: 2 | ▲ Frontend Hosting | $0 Vercel free | $20/tháng Vercel pro | $20/tháng | $20/tháng | $50/tháng Enterprise | CDN included
Row 4: 3 | 🗄️ Database (PostgreSQL) | $0-15/tháng Railway/Supabase free | $25/tháng Managed | $100/tháng + read replica | $300/tháng HA setup | $800/tháng Multi-region | Supabase free tier ban đầu
Row 5: 4 | 📦 MongoDB | $0 Atlas free | $0 Atlas free | $57/tháng Atlas M10 | $100/tháng | $300/tháng | Cho AI logs, surveys
Row 6: 5 | ⚡ Redis | $0 Upstash free | $10/tháng | $25/tháng | $50/tháng | $100/tháng | Cache + leaderboard
Row 7: 6 | 🤖 AI/LLM API | $0 Gemini free tier | $50-100/tháng GPT-4o-mini | $150-300/tháng | $300-500/tháng | $1,000/tháng | Tối ưu bằng caching
Row 8: 7 | 🗺️ Map API | $0 Mapbox free 50K | $0-50/tháng | $100/tháng | $200/tháng | $500/tháng | Mapbox pricing tiers
Row 9: 8 | 📁 Storage (S3) | $1/tháng | $5/tháng | $20/tháng | $50/tháng | $200/tháng | Tài liệu, media
Row 10: 9 | 🔔 Notification | $0 FCM free | $15/tháng + SendGrid | $30/tháng | $50/tháng | $100/tháng | FCM free, email có phí
Row 11: 10 | 🌐 CDN (Cloudflare) | $0 Free tier | $0 | $20/tháng Pro | $20/tháng | $200/tháng Business | DDoS protection included
Row 12: 11 | 🔍 Elasticsearch | $0 Basic self-hosted | $30/tháng | $60/tháng | $100/tháng | $300/tháng | Search optimization
Row 13: 12 | 🔧 Monitoring | $0 Free tools | $0 Self-hosted | $30/tháng | $50/tháng | $100/tháng | Prometheus + Grafana
Row 14: 13 | 💻 Dev Team | $0 Student team | $500-1,000 Part-time | $3,000-5,000 Mixed | $8,000-15,000 | $20,000-30,000 | Lương/phụ cấp Việt Nam
Row 15: 14 | 📢 Marketing | $0 | $100/tháng | $300/tháng | $1,000/tháng | $3,000/tháng | Social media, events
Row 16: 15 | 🔐 Domain + SSL | $10/năm | $10/năm | $10/năm | $10/năm | $50/năm | Cloudflare included
Row 17: 16 | ⚖️ Pháp lý | $0 | $0 | $200 (1 lần) | $100/tháng | $500/tháng | Đăng ký kinh doanh, PDPA
Row 19: 17 | 💰 TỔNG/THÁNG | ~$30-50 | ~$800-1,400 | ~$4,000-6,500 | ~$10,500-17,000 | ~$27,000-37,000 | Ước tính VND×25,000
Row 20: 18 | 💰 TỔNG VND/THÁNG | ~750K-1.2M | ~20-35M | ~100-162M | ~262-425M | ~675M-925M | Chưa tính lương fulltime
