--- SHEET: 5. Database Design ---

Row 1: # | Tên bảng | Mục đích | Các field chính | Primary Key | Foreign Keys | Indexes | Constraints | Relationships | Soft Delete | Audit Log | Scaling
Row 2: 1 | users | Lưu thông tin người dùng | id UUID, email, password_hash, full_name, phone, avatar_url, role_id, status, email_verified, provider, provider_id, bio, location POINT, created_at, updated_at, deleted_at | id (UUID v4) | role_id→roles.id | email (unique), phone, role_id, location (GIST), status | email UNIQUE NOT NULL, password min 8 chars | 1-N: posts, bookmarks, badges, donations, registrations | Có (deleted_at) | Có | Partition by created_at
Row 3: 2 | roles | Định nghĩa vai trò | id, name, display_name, description, level, is_system, created_at | id (SERIAL) | Không | name (unique) | name UNIQUE NOT NULL | 1-N: users, role_permissions | Không | Có | Không cần
Row 4: 3 | permissions | Quyền hệ thống | id, name, resource, action (CRUD), description, created_at | id (SERIAL) | Không | name (unique), resource | name UNIQUE | N-N: roles (qua role_permissions) | Không | Không | Không cần
Row 5: 4 | role_permissions | Mapping role-permission | id, role_id, permission_id, created_at | id | role_id→roles.id, permission_id→permissions.id | (role_id, permission_id) unique | UNIQUE(role_id, permission_id) | Bảng junction roles↔permissions | Không | Có | Không cần
Row 6: 5 | map_points | Điểm trên bản đồ | id UUID, name, description, type_id, location GEOGRAPHY(POINT), address, city, district, province, photos[], rating_avg, rating_count, status, created_by, verified, created_at, updated_at, deleted_at | id (UUID) | type_id→map_categories.id, created_by→users.id | location (GIST), type_id, status, province, city | name NOT NULL, valid coordinates | N-1: map_categories, 1-N: map_reviews | Có | Có | PostGIS partition by province
Row 7: 6 | map_categories | Loại điểm bản đồ | id, name, icon, color, parent_id, display_order, is_active | id (SERIAL) | parent_id→map_categories.id (self-ref) | name, parent_id | name UNIQUE per level | Self-referencing tree, 1-N: map_points | Không | Không | Không cần
Row 8: 7 | map_reviews | Đánh giá điểm bản đồ | id, point_id, user_id, rating (1-5), comment, photos[], helpful_count, created_at | id (UUID) | point_id→map_points.id, user_id→users.id | point_id, user_id, created_at | rating 1-5, UNIQUE(point_id, user_id) | N-1: map_points, users | Có | Không | Partition by created_at
Row 9: 8 | learning_materials | Tài liệu học tập | id UUID, title, description, type (video/pdf/course), subject, grade, tags[], file_url, file_size, thumbnail_url, download_count, view_count, rating_avg, status (draft/review/published), author_id, is_offline_available, search_vector TSVECTOR, created_at, updated_at, deleted_at | id (UUID) | author_id→users.id | search_vector (GIN), subject, grade, type, status, tags (GIN) | title NOT NULL, valid type enum | N-1: users, 1-N: material_ratings, downloads | Có | Có | Partition by type, Elasticsearch index
Row 10: 9 | material_ratings | Đánh giá tài liệu | id, material_id, user_id, rating, review, created_at | id (UUID) | material_id→learning_materials.id, user_id→users.id | material_id, user_id | rating 1-5, UNIQUE(material_id, user_id) | N-1: learning_materials, users | Không | Không | Không cần
Row 11: 10 | events | Workshop/sự kiện | id UUID, title, description, type (workshop/hackathon/seminar/camp), location POINT, address, start_date, end_date, capacity, registered_count, banner_url, organizer_id, status, tags[], is_online, meeting_url, price, created_at, updated_at, deleted_at | id (UUID) | organizer_id→users.id | start_date, type, status, location (GIST), tags (GIN) | title NOT NULL, end>start, capacity>0 | 1-N: event_registrations, N-1: users | Có | Có | Partition by start_date
Row 12: 11 | event_registrations | Đăng ký sự kiện | id, event_id, user_id, status (registered/attended/cancelled), ticket_code, checked_in_at, feedback_rating, feedback_text, created_at | id (UUID) | event_id→events.id, user_id→users.id | event_id, user_id, ticket_code (unique) | UNIQUE(event_id, user_id) | N-1: events, users | Không | Có | Partition by created_at
Row 13: 12 | opportunities | Cơ hội sinh viên | id UUID, title, description, type (scholarship/internship/hackathon/research), organization, location POINT, deadline, requirements, benefits, url, field_tags[], region, status, created_by, created_at, updated_at, deleted_at | id (UUID) | created_by→users.id | type, deadline, location (GIST), field_tags (GIN), region | title NOT NULL, deadline future | 1-N: opportunity_applications | Có | Có | Elasticsearch + PostGIS
Row 14: 13 | ai_conversations | Hội thoại AI | id UUID, user_id, title, model, total_tokens, context_summary, created_at, updated_at | id (UUID) | user_id→users.id | user_id, created_at | Không | 1-N: ai_messages, N-1: users | Có | Không | Partition by created_at, TTL 90 days
Row 15: 14 | ai_messages | Tin nhắn AI | id UUID, conversation_id, role (user/assistant), content, tokens_used, sources[], created_at | id (UUID) | conversation_id→ai_conversations.id | conversation_id, created_at | content NOT NULL | N-1: ai_conversations | Không | Không | Partition by created_at
Row 16: 15 | badges | Huy hiệu | id, name, description, icon_url, category, points, criteria_json, rarity (common/rare/epic/legendary), created_at | id (SERIAL) | Không | category, rarity | name UNIQUE | 1-N: user_badges | Không | Không | Không cần
Row 17: 16 | user_badges | Huy hiệu người dùng | id, user_id, badge_id, earned_at, source_action | id (UUID) | user_id→users.id, badge_id→badges.id | user_id, badge_id | UNIQUE(user_id, badge_id) | N-1: users, badges | Không | Không | Partition by earned_at
