--- SHEET: 7. Màn Hình UI-UX ---

Row 1: # | Tên màn hình | Mục đích | Thành phần UI chính | API gọi | DB liên quan | Chức năng | Loading State | Empty State | Error State | Responsive | Animation | Dark Mode
Row 2: 1 | 🏠 Home Page | Landing page, giới thiệu EduMap | Hero banner, feature cards, stats counter, map preview, testimonials, CTA buttons, footer | GET /api/stats/overview, GET /api/map/points (preview) | education_stats | Giới thiệu, navigate to features, quick search | Skeleton cards, shimmer effect | N/A (luôn có content) | Retry banner | Mobile: stack cards, hide map preview | Parallax scroll, counter animation, fade-in sections | Có
Row 3: 2 | 🗺️ Map Page | Bản đồ giáo dục chính | Full-screen map, sidebar filters, search bar, marker popups, layer toggle, legend, zoom controls | GET /api/map/points, /clusters, /search, /heatmap | map_points, map_categories | Xem map, search, filter, view details, add point | Map tile loading, markers shimmer | No results in area → zoom out suggestion | Map fail → static fallback | Mobile: bottom sheet filters, collapsed sidebar | Marker bounce, popup slide, smooth fly-to | Có (dark map tiles)
Row 4: 3 | 🔐 Login/Register | Đăng nhập & đăng ký | Login form, register form, OAuth buttons, forgot password link, role selector | POST /api/auth/login, /register, /oauth | users, roles | Auth flow, role selection | Button spinner | N/A | Inline field errors, toast | Mobile: full-width form | Form transition, button ripple | Có
Row 5: 4 | 📚 Library Page | Kho học liệu | Search bar, filter sidebar (subject, grade, type), material grid/list, pagination, sort | GET /api/library/materials, /search | learning_materials | Browse, search, filter, download, bookmark | Grid skeleton | No materials found → suggest upload | Search error → retry | Mobile: bottom sheet filter, 1-col grid | Card hover scale, filter slide | Có
Row 6: 5 | 📄 Material Detail | Chi tiết tài liệu | Preview (PDF/video player), metadata, ratings, related, download button, bookmark, share | GET /api/library/materials/:id | learning_materials, material_ratings | View, rate, download, share, bookmark | Content spinner, related shimmer | N/A | 404 page, viewer error → download link | Mobile: full-width viewer | Rating animation, share popup slide | Có
Row 7: 6 | 🤖 AI Chat Page | Chat với AI | Chat window, message bubbles, suggestion chips, sidebar history, new chat button | POST /api/ai/chat, GET /api/ai/suggestions | ai_conversations, ai_messages | Chat, get suggestions, view history | Typing indicator, streaming text | Welcome screen + starter prompts | AI error → retry button + fallback | Mobile: full-screen chat, hide sidebar | Message slide-in, typing dots, streaming | Có
Row 8: 7 | 🎯 Opportunity Map | Bản đồ cơ hội sinh viên | Map view, opportunity cards, filter panel (type, field, deadline), detail modal | GET /api/opportunities, /api/map/points | opportunities | Browse opportunities on map, filter, apply | Map + cards skeleton | No opportunities → expand search | Load fail → list fallback | Mobile: swipeable cards overlay | Card flip, marker pulse, modal slide | Có
Row 9: 8 | 🌿 Green Campus | Giáo dục xanh | Challenge cards, leaderboard, activity feed, green map, carbon tracker | GET /api/green/challenges, /activities, /leaderboard | green_challenges, green_activities | Join challenges, log activities, view leaderboard | Cards skeleton | No challenges → coming soon | Submit fail → retry | Mobile: tab navigation | Progress bar animation, confetti on achievement | Có
Row 10: 9 | 🎮 Gamification Hub | Huy hiệu & xếp hạng | Badge collection, leaderboard, points history, level progress, achievements | GET /api/gamification/badges, /leaderboard, /my-badges | badges, user_badges, user_points | View badges, check rank, track progress | Badge grid skeleton | New user → starter quests | Load fail → cached data | Mobile: horizontal badge scroll | Badge unlock animation, level-up effect | Có
Row 11: 10 | 📊 Dashboard | Dashboard quản trị/phân tích | Stats cards, charts (line/bar/pie), heatmap, recent activity, alerts, export | GET /api/admin/dashboard, /api/ai/analytics | education_stats, audit_logs | View stats, analyze data, export reports | Chart skeleton, number counter | No data yet → setup guide | Chart fail → data table fallback | Mobile: stack charts, swipeable cards | Counter animation, chart draw, alert pulse | Có
