--- SHEET: 3. Chi Tiết Chức Năng ---

Row 1: # | Module | Tên chức năng | Mô tả chi tiết | Ai sử dụng | Quy trình hoạt động | Input | Output | Logic xử lý | API liên quan | DB liên quan | Frontend xử lý | Backend xử lý | AI xử lý | Notification | Role | Priority | Độ khó | Realtime? | Offline? | Cache? | AI Rec? | Map? | Analytics? | Security | Validation | Error Handling
Row 2: 1 | MOD-MAP | Hiển thị bản đồ giáo dục | Hiển thị tất cả điểm giáo dục (trường, thư viện, lab, wifi) trên bản đồ tương tác với marker, popup info | Tất cả | 1.Mở app→2.Load map→3.Fetch markers→4.Render→5.User tương tác | GPS location, filters, zoom level | Map với markers, popup info, cluster | Load tile map→Fetch POI từ DB→Cluster markers→Render popup→Track interaction | GET /api/map/points, GET /api/map/clusters | map_points, map_categories, map_reviews | Mapbox GL JS, marker rendering, popup, filter UI, responsive | Query PostGIS, geo-filter, pagination, caching | Phát hiện khu vực thiếu giáo dục, gợi ý điểm gần | Không | Tất cả | 🔴 Critical | ⭐⭐⭐⭐⭐ | Có | Có (cache tiles) | Có (Redis) | Có | Có | Có | Rate limit, input sanitize | Validate lat/lng range, filter params | Map load fail→fallback, No data→empty state
Row 3: 2 | MOD-MAP | Tìm kiếm trên bản đồ | Search trường học, thư viện, wifi... theo tên, loại, khu vực | Tất cả | 1.Nhập keyword→2.Gợi ý autocomplete→3.Chọn→4.Fly to location | Search keyword, filters | Danh sách kết quả + map focus | Full-text search Elasticsearch→Geo filter→Rank results→Return | GET /api/map/search?q=&type=&radius= | map_points, search_logs | Search bar, autocomplete dropdown, result list | Elasticsearch query, geo-distance sort | Smart search: hiểu intent, sửa lỗi chính tả | Không | Tất cả | 🔴 Critical | ⭐⭐⭐⭐ | Không | Có (recent searches) | Có | Có | Có | Có | Input sanitize | Min 2 chars, max 100, XSS filter | No results→suggest alternatives
Row 4: 3 | MOD-MAP | Heatmap giáo dục | Hiển thị heatmap mật độ giáo dục, vùng thiếu hụt, khu vực cần hỗ trợ | Admin, School, Sponsor | 1.Chọn layer→2.Load data→3.Render heatmap→4.Phân tích | Layer type, region, time range | Heatmap overlay trên map | Aggregate data theo region→Tính density→Generate heatmap layer→Render | GET /api/map/heatmap?type=&region= | map_analytics, education_stats | Heatmap layer overlay, legend, opacity control | Aggregate PostGIS data, cache heavy queries | AI phát hiện anomaly, predict xu hướng | Không | ⚙️ Admin, 🏫 School | 🟠 High | ⭐⭐⭐⭐⭐ | Không | Không | Có (30min) | Có | Có | Có | Admin auth required | Valid layer type, region | Heavy load→progressive render
Row 5: 4 | MOD-MAP | Thêm điểm giáo dục mới | User đóng góp thêm điểm mới lên bản đồ (crowdsource) | Student, Teacher, Volunteer | 1.Click map→2.Chọn loại→3.Điền info→4.Upload ảnh→5.Submit→6.Review→7.Publish | Lat/lng, name, type, description, photos | Marker mới trên bản đồ (sau review) | Validate input→Save draft→Admin review→Approve/Reject→Publish to map | POST /api/map/points, PUT /api/map/points/:id/approve | map_points, map_reviews, media | Form wizard, image upload, map picker | Validate, save, notify admin, process images | Auto-categorize, detect duplicate | Notify admin để review; notify user khi approved | 🎓 Student, 👩‍🏫 Teacher, 🤝 Volunteer, ⚙️ Admin | 🟡 Medium | ⭐⭐⭐ | Không | Không | Không | Không | Có | Có | Auth required, file validation | Required fields, image size/type, coordinate range | Duplicate detection→merge suggestion
Row 6: 5 | MOD-AI | Chat AI học tập | Chatbot AI giải đáp thắc mắc học tập, gợi ý tài liệu phù hợp | Student, Teacher | 1.Mở chat→2.Nhập câu hỏi→3.AI xử lý→4.Trả lời→5.Gợi ý follow-up | Tin nhắn text, context, user profile | Câu trả lời AI + gợi ý tài liệu + follow-up questions | Parse intent→RAG từ knowledge base→Generate response→Attach relevant docs→Log | POST /api/ai/chat, GET /api/ai/suggestions | ai_conversations, ai_messages, learning_materials | Chat UI, markdown render, typing indicator, suggestion chips | Route to AI service, manage context window, rate limit | LLM + RAG: retrieve relevant docs → augment prompt → generate response | Không | 🎓 Student, 👩‍🏫 Teacher | 🔴 Critical | ⭐⭐⭐⭐⭐ | Có (streaming) | Không | Có (session) | Có | Không | Có | Rate limit 20/min, content filter | Non-empty message, max 2000 chars | AI fail→fallback response, timeout→retry
Row 7: 6 | MOD-AI | Cá nhân hóa học tập | AI phân tích hành vi học tập → gợi ý lộ trình và tài liệu phù hợp | Student | 1.Track behavior→2.Analyze patterns→3.Build profile→4.Generate recommendations | Learning history, interests, level, goals | Personalized dashboard, recommended materials | Collect interactions→Compute embeddings→Collaborative filtering→Content-based rec→Rank | GET /api/ai/recommendations, GET /api/ai/learning-path | user_learning_history, user_preferences, recommendations | Recommendation cards, progress visualization | Batch processing, real-time scoring, A/B test | Embedding model + recommendation engine + personalization | Weekly summary notification | 🎓 Student | 🟠 High | ⭐⭐⭐⭐⭐ | Không | Không | Có (1h) | Có | Không | Có | Privacy: user consent required | Valid user profile | Cold start→popular items fallback
Row 8: 7 | MOD-AI | AI phân tích dữ liệu giáo dục | AI phân tích xu hướng giáo dục, dự đoán nhu cầu, phát hiện vùng thiếu hụt | Admin, School | 1.Collect data→2.Process→3.Train model→4.Generate insights→5.Dashboard | Education statistics, survey data, map data | Insights, predictions, reports, visualizations | ETL pipeline→Feature engineering→ML models→Prediction→Visualization | GET /api/ai/analytics, GET /api/ai/predictions | education_stats, ai_models, predictions | Dashboard charts, insight cards, prediction graphs | Scheduled jobs, model serving, data pipeline | Time series forecasting, clustering, anomaly detection | Alert khi phát hiện anomaly | ⚙️ Admin | 🟡 Medium | ⭐⭐⭐⭐⭐ | Không | Không | Có (6h) | Có | Có | Có | Admin only, data anonymization | Valid date range, region | Model fail→use cached predictions
Row 9: 8 | MOD-AI | AI Career Recommendation | AI gợi ý nghề nghiệp dựa trên sở thích, kỹ năng, xu hướng thị trường | Student | 1.Làm quiz→2.AI phân tích→3.Match careers→4.Show roadmap→5.Connect mentor | Quiz answers, skills, interests, academic record | Career suggestions + skill gaps + learning roadmap | Analyze profile→Match with career database→Identify skill gaps→Generate roadmap | POST /api/ai/career-quiz, GET /api/ai/career-recommendations | career_paths, skill_matrix, user_profiles | Quiz UI, career cards, roadmap visualization, skill radar chart | Process quiz, run matching algorithm, cache results | NLP analysis + career matching model + market trend data | Kết quả career suggestion | 🎓 Student | 🟡 Medium | ⭐⭐⭐⭐ | Không | Không | Có (24h) | Có | Không | Có | Auth required | Complete quiz required | No match→broaden criteria
Row 10: 9 | MOD-LIB | Upload tài liệu | Upload video, PDF, đề thi vào kho học liệu | Teacher, Mentor, Admin | 1.Chọn file→2.Điền metadata→3.Upload→4.Process→5.Review→6.Publish | File + metadata (title, subject, grade, tags) | Tài liệu trong kho, searchable | Validate file→Upload to S3→Process (thumbnail, extract text)→Index→Review | POST /api/library/upload, POST /api/library/materials | learning_materials, material_categories, media_files | Drag-drop upload, progress bar, metadata form | File processing, virus scan, thumbnail gen, text extraction, index | Auto-tag, auto-categorize, quality score | Notify admin review; notify user approved | 👩‍🏫 Teacher, 🧑‍🏫 Mentor, ⚙️ Admin | 🔴 Critical | ⭐⭐⭐⭐ | Không | Không | Không | Có | Không | Có | File scan, size limit 100MB, type whitelist | Required metadata, valid file type | Upload fail→resume, virus detected→reject
Row 11: 10 | MOD-LIB | Tìm kiếm học liệu | Full-text search tài liệu theo tên, chủ đề, lớp, tags | Tất cả | 1.Nhập keyword→2.Filter→3.Search→4.Sort→5.View results | Keyword, filters (subject, grade, type, rating) | Danh sách tài liệu sorted by relevance | Elasticsearch full-text→Filter→Boost by rating/recency→Paginate | GET /api/library/search?q=&subject=&grade= | learning_materials, material_ratings | Search bar, filter sidebar, result grid/list, sort dropdown | Elasticsearch query with boosting, faceted search | Smart search: synonyms, typo correction, intent | Không | Tất cả | 🔴 Critical | ⭐⭐⭐ | Không | Có (recent) | Có (5min) | Có | Không | Có | Public access OK | Min 1 char search | No results→suggest related
