--- SHEET: 17. So Sánh Công Nghệ ---

Row 1: # | Công nghệ | Vai trò trong EduMap | Vì sao chọn | Ưu điểm | Nhược điểm | Module sử dụng | Alternatives | Scalability | Cost
Row 2: 1 | NextJS 14 | Frontend web framework | App Router + SSR/SSG cho SEO, React ecosystem, performance tốt | SEO (SSR), fast (RSC), DX tốt, Image optimization, middleware, TypeScript native | Build time chậm cho app lớn, learning curve App Router, hosting cần Node.js | Tất cả web frontend | Nuxt (Vue), Remix, SvelteKit | Excellent: Vercel edge, ISR, static export | Free→$20/month Vercel
Row 3: 2 | React 18 | UI library | Component-based, virtual DOM, hooks, massive ecosystem | Ecosystem lớn nhất, jobs nhiều, Concurrent features, Suspense | Bundle size, JSX learning curve, too many choices | Tất cả UI components | Vue 3, Svelte, Angular | N/A (library level) | Free
Row 4: 3 | Flutter 3 | Mobile framework | Single codebase iOS+Android, native-like performance, offline support | 1 codebase, Dart performance, rich widgets, offline, hot reload | Bundle size 10MB+, platform-specific plugins limited, web support beta | Mobile app: map, chat, library, offline | React Native, Kotlin/Swift native | Good: isolates for heavy computation | Free
Row 5: 4 | NestJS | Backend framework | Enterprise-grade Node.js, modular architecture, TypeScript, decorator pattern | Clean architecture, DI container, guards/pipes, microservice ready, testing | Verbose (decorators), opinionated, learning curve | Tất cả backend API | Express.js, Fastify, Hono | Excellent: horizontal scale, microservice | Free
Row 6: 5 | FastAPI | AI microservice | Python ML ecosystem access, async performance, auto-docs | Fastest Python framework, async, auto Swagger, type hints | Python GIL (multi-threading limited), separate service needed | AI chat, recommendation, analytics, moderation | Flask, Django REST, gRPC | Good: async workers, GPU scaling | Free
Row 7: 6 | PostgreSQL 16 | Primary database | ACID, PostGIS geospatial, JSONB, mature, extensions | Reliable, PostGIS, JSONB, full-text search, partitioning, RLS | Vertical scaling primarily, complex queries can be slow | Core data: users, events, materials, map_points | MySQL, CockroachDB, Supabase | Good: read replicas, partitioning | Free→$15-100/month
Row 8: 7 | MongoDB | Document store | Flexible schema cho AI logs, surveys, dynamic content | Schema flexibility, horizontal scale (sharding), aggregation pipeline | No ACID across collections, memory hungry, query complexity | AI logs, surveys, analytics, flexible content | DynamoDB, Firebase Firestore, CouchDB | Excellent: auto-sharding | Free→$57/month Atlas
Row 9: 8 | Redis 7 | Cache & realtime | Sub-millisecond reads, pub/sub, sorted sets cho leaderboard, session | Blazing fast, versatile data structures, pub/sub, Lua scripting | Memory limited, persistence complex, no complex queries | Cache, session, leaderboard, rate limit, realtime counters | Memcached, KeyDB, Dragonfly | Good: Redis Cluster | Free→$25/month
Row 10: 9 | Firebase | Auth + notifications | Easy OAuth integration, FCM push, free tier generous | Quick setup, multi-platform SDK, free tier 50K MAU, FCM free | Vendor lock-in, limited queries, pricing unpredictable at scale | Auth, push notifications, optional Firestore | Auth0, Supabase Auth, AWS Cognito | Excellent: Google infrastructure | Free→$25/month
Row 11: 10 | Mapbox GL JS | Map rendering | Vector tiles (fast), custom styling, 3D terrain, clustering support | Beautiful, fast rendering, customizable, good free tier, self-host tiles option | Pricing at scale, internet required, learning curve | Map module, opportunity map, green map, wifi map | Google Maps JS, Leaflet, OpenLayers | Excellent: CDN tiles | Free 50K→$0.5/1000
Row 12: 11 | Google Maps API | Geocoding + Places | Accurate geocoding, Places API, Directions, well-documented | Most accurate geocoding, rich data, reliable | Expensive at scale, less customizable map style | Geocoding, places search, directions | Mapbox Geocoding, Nominatim (free), HERE | Excellent: Google infrastructure | $200 free credit→pay per use
Row 13: 12 | Elasticsearch 8 | Full-text search | Fast search, fuzzy matching, Vietnamese analyzer, aggregations | Sub-second search, relevance scoring, faceted search, scalable | Memory intensive (JVM), operational complexity, cost | Library search, map search, opportunity search | Meilisearch, Typesense, PostgreSQL FTS | Excellent: horizontal | $30-100/month
Row 14: 13 | Python + LLMs | AI/ML processing | Rich ML ecosystem, LLM integration, data science libraries | NumPy, Pandas, scikit-learn, PyTorch, LangChain, transformers | GIL, deployment complexity, model size | All AI features | Node.js AI (limited), R (analytics only) | Good with proper architecture | Model-dependent
Row 15: 14 | Docker | Containerization | Consistent environments, isolated services, easy deployment | Portable, reproducible, isolation, ecosystem | Learning curve, slight performance overhead, storage | All services | Podman, containerd | Foundation for K8s | Free
Row 16: 15 | Kubernetes | Orchestration | Auto-scaling, self-healing, service discovery, rolling updates | Production-grade orchestration, declarative, ecosystem | Complex setup, resource overhead, learning curve steep | Production deployment (Phase 2+) | Docker Swarm, Nomad, ECS | Excellent: HPA, VPA | K3s free, EKS $72/month
