--- SHEET: 15. Luồng Hoạt Động ---

Row 1: # | Tên Flow | Actors | Các bước chi tiết | Trigger | Kết quả | Error Cases | Modules liên quan
Row 2: 1 | 🔐 User Registration Flow | Guest → Student/Teacher/Mentor | 1. Guest truy cập app → 2. Click 'Đăng ký' → 3. Chọn vai trò → 4. Điền form (email, password, full_name) hoặc OAuth → 5. Validate input → 6. Check email unique → 7. Hash password → 8. Create user record → 9. Send verification email → 10. User click link verify → 11. Update email_verified=true → 12. Redirect to onboarding → 13. Setup profile (avatar, bio, interests) → 14. Show welcome tour | Click 'Đăng ký' button | Tài khoản mới + profile setup + welcome badges | Email exists→show login link; Invalid input→inline errors; Email not delivered→resend option; OAuth fail→retry/email fallback | MOD-AUTH, MOD-NOTIFY, MOD-GAME
Row 3: 2 | 🗺️ Map Exploration Flow | All Users | 1. Mở trang Map → 2. Load map tiles (Mapbox) → 3. Get user location (GPS) → 4. Fetch nearby points (PostGIS query) → 5. Render markers với clustering → 6. User zoom/pan → 7. Recalculate visible bounds → 8. Refetch points in new bounds → 9. Click marker → 10. Show popup with details → 11. Click 'Xem chi tiết' → 12. Load full detail + reviews + nearby → 13. User can rate/review → 14. User can report incorrect info | Mở trang /map | Map tương tác với tất cả điểm giáo dục trong vùng nhìn thấy | GPS denied→default to Đồng Nai center; No points→suggest zoom out; Slow connection→progressive load; Map fail→static image fallback | MOD-MAP, MOD-AUTH
Row 4: 3 | 📚 Learning Flow | Student | 1. Browse/search tài liệu → 2. Filter (môn, lớp, loại) → 3. View results → 4. Click tài liệu → 5. View preview (PDF viewer/video player) → 6. Rate & review → 7. Bookmark → 8. Download for offline → 9. AI gợi ý tài liệu liên quan → 10. Track learning history → 11. Update progress → 12. Earn points/badges → 13. AI suggest next material | Truy cập Library page | Kiến thức mới + points + history tracked + personalized recommendations | No results→AI suggest alternatives; Download fail→retry; Offline sync fail→queue; Large file→progressive download | MOD-LIB, MOD-AI, MOD-GAME
Row 5: 4 | 🤖 AI Chat Flow | Student, Teacher | 1. Open AI chat → 2. Show welcome + starter prompts → 3. User type question → 4. Frontend send to API (streaming) → 5. Backend: classify intent → 6. RAG: search relevant docs in vector DB → 7. Assemble context (system prompt + user query + retrieved docs) → 8. Call LLM API (streaming) → 9. Stream response tokens to frontend → 10. Render markdown response → 11. Show source references → 12. Show follow-up suggestions → 13. User can continue conversation → 14. Save to conversation history → 15. Track tokens used | Click AI chat icon / type message | Câu trả lời AI + tài liệu tham khảo + gợi ý follow-up | AI timeout→retry with simpler prompt; Rate limited→show cooldown; Content filtered→explain policy; LLM down→fallback cached FAQs | MOD-AI, MOD-LIB
Row 6: 5 | 🎓 Workshop Registration Flow | Student → Organizer → Admin | 1. Browse workshop list → 2. Filter by type/date/location → 3. Click workshop → 4. View details (speaker, schedule, location on map) → 5. Click 'Đăng ký' → 6. Check capacity → 7. Fill registration form → 8. Submit → 9. Backend: create registration, decrement capacity → 10. Generate QR ticket → 11. Send confirmation email + calendar invite → 12. Reminder notification 1 day before → 13. Reminder 1 hour before → 14. Day of: show QR for check-in → 15. Organizer scan QR → 16. Mark attended → 17. Post-event: send feedback form → 18. Submit feedback → 19. Generate certificate → 20. Award badge/points | Click 'Đăng ký' on workshop | Ticket + calendar + reminders + attendance + certificate + badge | Full capacity→join waitlist; Payment fail→retry; Already registered→show ticket; Past deadline→show similar events; Check-in fail→manual override | MOD-WS, MOD-NOTIFY, MOD-GAME, MOD-CERT
Row 7: 6 | 🧑‍🏫 Mentor Booking Flow | Student → Mentor | 1. Student browse mentors → 2. Filter by specialty/rating → 3. AI suggest matching mentors → 4. View mentor profile → 5. Check available slots (calendar) → 6. Select slot + write topic → 7. Submit booking → 8. Backend: check conflict, reserve slot → 9. Notify mentor → 10. Mentor confirm/reject → 11. If confirmed: generate video call link → 12. Send calendar invites to both → 13. Reminder 1h before → 14. Start video call (WebRTC) → 15. Complete session → 16. Both rate & feedback → 17. Update mentor stats → 18. Award points/badges | Click 'Đặt lịch' on mentor | Video call session + feedback + points | Slot taken→suggest alternatives; Mentor busy→show next available; Video fail→fallback to chat; No-show→auto-cancel after 15min | MOD-MENTOR, MOD-AI, MOD-NOTIFY, MOD-GAME
Row 8: 7 | 💝 Donation Flow | Sponsor/Volunteer → Campaign → Beneficiary | 1. Browse campaigns on map → 2. Filter by type/region → 3. Click campaign → 4. View details + progress + impact → 5. Choose donation type (money/items) → 6. For money: enter amount + payment method → 7. Process payment (gateway) → 8. Verify transaction → 9. Record donation → 10. Update campaign progress → 11. Send receipt email → 12. For items: fill item details + photos → 13. Match with needs → 14. Arrange delivery → 15. Confirm receipt → 16. Update impact metrics → 17. Generate transparency report → 18. Award donor badge/points | Click 'Quyên góp' on campaign | Donation recorded + receipt + impact update + badge | Payment fail→retry/alternative method; Campaign closed→suggest similar; Item mismatch→notify donor; Fraud detection→hold & review | MOD-DONATE, MOD-MAP, MOD-NOTIFY, MOD-GAME
Row 9: 8 | 🌿 Green Challenge Flow | Student | 1. Browse green challenges → 2. View challenge details → 3. Click 'Tham gia' → 4. Daily: log activity → 5. Upload proof photo → 6. AI verify photo (image classification) → 7. If valid: award points, update carbon tracker → 8. If invalid: flag for manual review → 9. View personal progress → 10. Compare on leaderboard → 11. Complete challenge → 12. Earn badge + certificate → 13. Share achievement | Click 'Tham gia' on challenge | Points + carbon tracking + badge + certificate + community recognition | Photo rejected→retry with guidelines; Challenge expired→archive; Cheat detected→warning + point deduction | MOD-GREEN, MOD-GAME, MOD-AI, MOD-CERT
Row 10: 9 | 📊 Admin Moderation Flow | User → Moderator → Admin | 1. User submit content (post/material/point) → 2. Auto-moderation: AI scan content → 3. If safe (confidence>85%): auto-publish → 4. If suspicious (50-85%): add to review queue → 5. If harmful (<50%): auto-reject + notify user → 6. Moderator reviews queue → 7. Approve/reject with reason → 8. If rejected: notify user with reason + appeal option → 9. User can appeal → 10. Admin reviews appeal → 11. Final decision → 12. Update content status → 13. Log all actions in audit trail | Content submission | Content published/rejected + audit trail | False positive→appeal→admin review; Mod disagree→escalate to admin; Spam flood→auto-ban + rate limit | MOD-AI, MOD-COMMUNITY, MOD-LIB
Row 11: 10 | 🎮 Gamification Flow | All Users | 1. User performs action (learn, volunteer, upload, attend) → 2. Event published to gamification service → 3. Check badge rules engine → 4. If badge criteria met: award badge → 5. Calculate points → 6. Update user level → 7. Check streak (daily login, weekly activity) → 8. Update leaderboard (Redis sorted set) → 9. Send notification → 10. Display toast/popup animation → 11. Update profile badge shelf → 12. Check milestone (100 points, 10 badges, etc) → 13. If milestone: extra reward + notification | Any tracked user action | Badges + points + level up + leaderboard position + notifications | Duplicate action→ignore; Anti-cheat: verify action authenticity; System error→queue for retry | MOD-GAME, MOD-NOTIFY
