--- SHEET: 6. API Design ---

Row 1: # | Module | Method | Endpoint | Mô tả | Request Body | Response | Auth | Roles | Validation | Middleware | Rate Limit | Cache | Status Codes | Error Codes
Row 2: 1 | Auth | POST | /api/auth/register | Đăng ký tài khoản | {email,password,full_name,role} | {user,token,refresh_token} | Không | Public | email format, password 8+ chars, valid role | validate, sanitize | 10/min/IP | Không | 201,400,409 | REG_001: Email exists, REG_002: Invalid role
Row 3: 2 | Auth | POST | /api/auth/login | Đăng nhập | {email,password} | {user,token,refresh_token} | Không | Public | email required, password required | validate, bruteForce | 5/min/IP | Không | 200,401,403 | AUTH_001: Invalid credentials, AUTH_002: Account locked
Row 4: 3 | Auth | POST | /api/auth/oauth/:provider | OAuth login (Google/Facebook) | {provider_token} | {user,token} | Không | Public | valid provider token | validate | 10/min/IP | Không | 200,401 | OAUTH_001: Invalid token
Row 5: 4 | Auth | POST | /api/auth/refresh | Refresh token | {refresh_token} | {token,refresh_token} | Không | Public | valid refresh token | validate | 10/min | Không | 200,401 | TOKEN_001: Expired
Row 6: 5 | Auth | POST | /api/auth/forgot-password | Quên mật khẩu | {email} | {message} | Không | Public | valid email | validate, rateLimit | 3/hour/email | Không | 200,404 | PWD_001: Email not found
Row 7: 6 | Users | GET | /api/users/me | Lấy profile hiện tại | Không | {user_profile} | JWT | All authenticated | Không | auth | 100/min | 5min | 200,401 | USR_001: Not found
Row 8: 7 | Users | PUT | /api/users/me | Cập nhật profile | {full_name,bio,avatar,phone,location} | {updated_user} | JWT | All authenticated | valid fields, avatar max 5MB | auth, upload | 30/min | Invalidate | 200,400,401 | USR_002: Invalid field
Row 9: 8 | Users | GET | /api/users/:id/public | Xem profile công khai | Không | {public_profile} | Optional | Public | valid UUID | cache | 100/min | 15min | 200,404 | USR_003: User not found
Row 10: 9 | Map | GET | /api/map/points | Lấy điểm bản đồ | ?bounds=&type=&status= | {points[],total,clusters[]} | Optional | Public | valid bounds, valid type | cache, geoValidate | 200/min | 5min | 200,400 | MAP_001: Invalid bounds
Row 11: 10 | Map | GET | /api/map/points/:id | Chi tiết điểm | Không | {point,reviews[],nearby[]} | Optional | Public | valid UUID | cache | 200/min | 10min | 200,404 | MAP_002: Point not found
Row 12: 11 | Map | POST | /api/map/points | Thêm điểm mới | {name,type_id,location,description,photos[]} | {point} | JWT | Student,Teacher,Volunteer | required fields, valid coords, photos max 5 | auth, upload, validate | 10/min | Không | 201,400,401 | MAP_003: Duplicate location
Row 13: 12 | Map | GET | /api/map/search | Tìm kiếm trên map | ?q=&type=&radius=&lat=&lng= | {results[],total} | Optional | Public | q min 2 chars, valid radius | cache, validate | 100/min | 2min | 200,400 | MAP_004: No results
