--- SHEET: 2. Danh Sách Module ---

Row 1: # | Mã Module | Tên Module | Mô tả | Chức năng chính | Đối tượng sử dụng | Priority | Độ khó | Estimated Time | Công nghệ chính | Dependencies | Phase
Row 2: 1 | MOD-MAP | Bản đồ giáo dục thông minh | Hiển thị toàn bộ tài nguyên giáo dục trên bản đồ số: trường học, thư viện, điểm wifi, lab, không gian xanh | Hiển thị marker, filter, search, clustering, heatmap, geolocation, AI recommendation theo khu vực | Tất cả user | 🔴 Critical | ⭐⭐⭐⭐⭐ | 8 tuần | Mapbox/Google Maps, NextJS, PostgreSQL+PostGIS | MOD-AUTH | MVP
Row 3: 2 | MOD-AI | AI Chatbot & Hỗ trợ học tập | Chatbot AI giải đáp thắc mắc, gợi ý tài liệu, cá nhân hóa học tập, phân tích dữ liệu giáo dục | Chat AI, gợi ý tài liệu, phân tích learning path, AI mentor matching, career recommendation | Student, Teacher | 🔴 Critical | ⭐⭐⭐⭐⭐ | 10 tuần | Python, FastAPI, LLM (GPT/Gemini), Vector DB, LangChain | MOD-LIB, MOD-AUTH | Phase 1
Row 4: 3 | MOD-LIB | Kho học liệu mở | Kho tài liệu miễn phí: video, PDF, đề thi, khóa học, STEM, hướng nghiệp, kỹ năng mềm, lập trình | Upload, download, search, filter, rating, bookmark, offline sync, AI recommendation | Student, Teacher, Mentor | 🔴 Critical | ⭐⭐⭐⭐ | 6 tuần | NextJS, NestJS, PostgreSQL, MinIO/S3, Elasticsearch | MOD-AUTH | MVP
Row 5: 4 | MOD-WS | Workshop & Sự kiện | Quản lý workshop, seminar, hackathon, coding camp, STEM camp, trại hè khoa học | Tạo/đăng ký sự kiện, lịch, reminder, check-in, feedback, certificate | Tất cả user | 🟠 High | ⭐⭐⭐⭐ | 5 tuần | NextJS, NestJS, PostgreSQL, Firebase Cloud Messaging | MOD-AUTH, MOD-MAP | MVP
Row 6: 5 | MOD-OPP | Student Opportunity Map | Google Maps cho cơ hội sinh viên: học bổng, cuộc thi, internship, nghiên cứu KH | Hiển thị cơ hội trên map, filter ngành/khu vực, deadline tracking, team finding | Student | 🟠 High | ⭐⭐⭐⭐ | 6 tuần | Mapbox, NextJS, NestJS, PostgreSQL | MOD-MAP, MOD-AUTH | Phase 1
Row 7: 6 | MOD-GREEN | Green Campus | Bản đồ không gian xanh, hoạt động môi trường, điểm tái chế, thử thách sống xanh | Map xanh, challenge môi trường, tracking carbon, campaign, leaderboard xanh | Student, School | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, Mapbox, PostgreSQL | MOD-MAP, MOD-GAME | Phase 1
Row 8: 7 | MOD-GAME | Gamification | Huy hiệu, tích điểm, leaderboard, chứng nhận điện tử, lịch sử hoạt động | Badge system, points, levels, achievements, certificates, streaks | Tất cả user | 🟠 High | ⭐⭐⭐⭐ | 5 tuần | NextJS, NestJS, Redis, PostgreSQL | MOD-AUTH | Phase 1
Row 9: 8 | MOD-DASH | Dashboard dữ liệu | Heatmap giáo dục, thống kê hoạt động, số liệu hỗ trợ, khu vực ưu tiên | Charts, heatmap, analytics, reports, export, realtime stats | Admin, School, Sponsor | 🟠 High | ⭐⭐⭐⭐ | 5 tuần | NextJS, D3.js/Chart.js, NestJS, PostgreSQL | MOD-MAP, MOD-AUTH | Phase 1
Row 10: 9 | MOD-MENTOR | Hệ thống Mentor | Kết nối mentor-mentee, lịch tư vấn, đánh giá, theo dõi tiến trình | Matching AI, booking, video call, feedback, progress tracking | Mentor, Student | 🟡 Medium | ⭐⭐⭐⭐ | 6 tuần | NextJS, NestJS, WebRTC, PostgreSQL, AI matching | MOD-AI, MOD-AUTH | Phase 2
Row 11: 10 | MOD-VOL | Hệ thống Volunteer | Quản lý tình nguyện viên, chiến dịch, theo dõi giờ hoạt động, chứng nhận | Đăng ký, assign, tracking hours, campaign management, certificates | Volunteer, Admin | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, PostgreSQL | MOD-AUTH, MOD-GAME | Phase 1
Row 12: 11 | MOD-BIZ | Kết nối doanh nghiệp | Doanh nghiệp tài trợ học bổng, workshop, internship, đồng hành giáo dục | Company profile, sponsorship, internship posting, partnership | Business, Sponsor | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, PostgreSQL | MOD-AUTH, MOD-OPP | Phase 2
Row 13: 12 | MOD-SURVEY | Khảo sát giáo dục | Thu thập nhu cầu học tập, điều kiện học online, khó khăn giáo dục | Tạo survey, thu thập, phân tích, báo cáo, export | Admin, School, Teacher | 🟡 Medium | ⭐⭐⭐ | 3 tuần | NextJS, NestJS, PostgreSQL | MOD-AUTH | Phase 2
Row 14: 13 | MOD-DONATE | Quyên góp & Hỗ trợ | Quyên góp sách, laptop, thiết bị, tài trợ học bổng, matching người cần | Donate form, matching, tracking, transparency report | Sponsor, Volunteer | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, PostgreSQL, Payment gateway | MOD-AUTH, MOD-MAP | Phase 2
Row 15: 14 | MOD-CAREER | Roadmap nghề nghiệp | Định hướng nghề nghiệp, roadmap kỹ năng, chia sẻ kinh nghiệm | Career paths, skill roadmap, mentor stories, AI career suggestion | Student | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, PostgreSQL, AI | MOD-AI, MOD-AUTH | Phase 2
Row 16: 15 | MOD-COMMUNITY | Cộng đồng học tập | Nhóm học tập, đăng bài, Q&A, challenge học tập, kết nối CLB | Groups, posts, comments, Q&A, challenges, CLB directory | Student, Teacher | 🟠 High | ⭐⭐⭐⭐ | 6 tuần | NextJS, NestJS, PostgreSQL, WebSocket | MOD-AUTH | Phase 1
Row 17: 16 | MOD-WIFI | Wifi Map | Bản đồ wifi miễn phí, phòng máy tính công cộng, điểm hỗ trợ học online | Map markers, speed test, user reviews, crowdsourced data | Tất cả user | 🟢 Low | ⭐⭐ | 2 tuần | Mapbox, NextJS, NestJS | MOD-MAP | Phase 2
Row 18: 17 | MOD-STEM | STEM Lab & Innovation | Quản lý workshop STEM, coding camp, robotics, AI camp, phòng lab | Lab directory, workshop management, equipment booking, STEM content | Student, Teacher, School | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, PostgreSQL, Mapbox | MOD-MAP, MOD-WS | Phase 2
Row 19: 18 | MOD-SCHOLAR | Scholarship Map | Bản đồ học bổng: trong nước, quốc tế, theo ngành, theo khu vực | Search, filter, deadline alert, eligibility check, application tracking | Student | 🟠 High | ⭐⭐⭐ | 3 tuần | Mapbox, NextJS, NestJS, PostgreSQL | MOD-MAP, MOD-OPP | Phase 1
Row 20: 19 | MOD-INTERN | Internship Map | Bản đồ thực tập: vị trí, công ty, ngành, khu vực, deadline | Search, filter, apply, tracking, company reviews | Student | 🟡 Medium | ⭐⭐⭐ | 3 tuần | Mapbox, NextJS, NestJS, PostgreSQL | MOD-MAP, MOD-BIZ | Phase 2
Row 21: 20 | MOD-HACK | Challenge & Hackathon | Bản đồ hackathon, cuộc thi khởi nghiệp, AI challenge, STEM challenge | Event listing, team finding, submission, judging, results | Student | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, PostgreSQL | MOD-OPP, MOD-GAME | Phase 2
Row 22: 21 | MOD-INTL | Quốc tế hóa | Workshop quốc tế, exchange, học bổng QT, giao lưu, seminar chuyên gia | International events, exchange programs, global opportunities | Student | 🟢 Low | ⭐⭐⭐ | 3 tuần | NextJS, NestJS, i18n | MOD-OPP, MOD-SCHOLAR | Phase 3
Row 23: 22 | MOD-CERT | Chứng nhận điện tử | Cấp chứng nhận hoàn thành khóa học, workshop, tình nguyện | Generate cert, verify, blockchain optional, portfolio | Student, Volunteer | 🟡 Medium | ⭐⭐⭐ | 3 tuần | NextJS, NestJS, PDF generation, QR code | MOD-GAME, MOD-AUTH | Phase 2
Row 24: 23 | MOD-LEARN | Community Learning Map | Bản đồ quán cà phê học tập, thư viện, phòng tự học, không gian nhóm | Map markers, reviews, photos, check-in, availability | Student | 🟢 Low | ⭐⭐ | 2 tuần | Mapbox, NextJS, NestJS | MOD-MAP | Phase 2
Row 25: 24 | MOD-AUTH | Authentication & Authorization | Đăng ký, đăng nhập, phân quyền, OAuth, JWT, RBAC | Register, login, OAuth, JWT, RBAC, profile management | Tất cả user | 🔴 Critical | ⭐⭐⭐⭐ | 4 tuần | NestJS, PostgreSQL, Firebase Auth, JWT | Không | MVP
Row 26: 25 | MOD-NOTIFY | Notification System | Thông báo push, email, in-app, realtime | Push notification, email, SMS, in-app, preferences | Tất cả user | 🟠 High | ⭐⭐⭐ | 3 tuần | Firebase FCM, NestJS, WebSocket, Redis | MOD-AUTH | MVP
Row 27: 26 | MOD-MOBILE | Tri thức lưu động | Thư viện lưu động, lớp học lưu động, xe công nghệ đến vùng khó | Route planning, schedule, tracking, resource management | Admin, Volunteer | 🟢 Low | ⭐⭐⭐ | 4 tuần | Flutter, NestJS, Mapbox, PostgreSQL | MOD-MAP, MOD-VOL | Phase 3
Row 28: 27 | MOD-SUMMER | Mùa hè xanh | Quản lý chiến dịch tình nguyện mùa hè, kết nối đội, theo dõi hoạt động | Campaign management, team connect, activity tracking, reports | Volunteer, Admin | 🟢 Low | ⭐⭐ | 3 tuần | NextJS, NestJS, PostgreSQL | MOD-VOL, MOD-MAP | Phase 3
Row 29: 28 | MOD-SHARE | Chia sẻ sách & tài liệu | Chia sẻ giáo trình cũ, tặng sách, quyên góp tập vở | Post items, request, matching, delivery tracking | Student, Volunteer | 🟢 Low | ⭐⭐ | 2 tuần | NextJS, NestJS, PostgreSQL | MOD-AUTH, MOD-MAP | Phase 2
Row 30: 29 | MOD-HS | Kết nối HS THPT - ĐH | Hướng nghiệp, tư vấn tuyển sinh, mentor, trải nghiệm đại học | Counseling, campus tour, mentor matching, STEM activities | Student, Teacher, University | 🟡 Medium | ⭐⭐⭐ | 4 tuần | NextJS, NestJS, PostgreSQL | MOD-MENTOR, MOD-CAREER | Phase 2
