--- SHEET: 16. Bản Đồ & Geo Analysis ---

Row 1: # | Tính năng | Mô tả chi tiết | Công nghệ | Logic xử lý | Data source | AI Integration | Output | Use case
Row 2: 1 | 🗺️ Bản đồ giáo dục cơ bản | Hiển thị tất cả điểm giáo dục trên map tương tác: trường, thư viện, lab, wifi, không gian xanh | Mapbox GL JS + PostGIS | 1. Load vector tiles → 2. Fetch POI trong viewport (PostGIS ST_Within) → 3. Client-side clustering (Supercluster) → 4. Render markers theo category → 5. Popup on click → 6. Fly-to on select | Database map_points + map_categories Crowdsourced data Government open data | Không (Phase MVP) | Interactive map với markers, popups, clusters, layer toggles | Tìm trường gần nhất, thư viện, điểm học tập
Row 3: 2 | 🔥 Heatmap giáo dục | Hiển thị mật độ tài nguyên giáo dục theo vùng, phát hiện khu vực thiếu hụt | Mapbox heatmap layer + PostGIS + D3.js | 1. Aggregate điểm theo grid (H3 hexagonal) → 2. Tính density per hex → 3. Normalize scores → 4. Render heatmap layer → 5. Color scale: đỏ (thiếu) → xanh (đủ) → 6. Tooltip với stats | map_points aggregated education_stats population data | AI phát hiện anomaly: khu vực population cao nhưng density giáo dục thấp → flag priority | Heatmap overlay với legend, selectable layers (trường, thư viện, wifi, overall) | Admin phân tích vùng thiếu hụt, nhà tài trợ chọn nơi đầu tư
Row 4: 3 | 📍 Geolocation & Navigation | Xác định vị trí user, tìm đường đến điểm gần nhất, thông báo gần vị trí | Browser Geolocation API + Mapbox Directions | 1. Request GPS permission → 2. Get coordinates → 3. Reverse geocode (Mapbox) → 4. Find nearest K points (PostGIS KNN) → 5. Calculate route → 6. Show directions | User GPS map_points Mapbox Directions API | Gợi ý điểm phù hợp theo profile + location | User position marker, nearest points list, route directions | Student tìm thư viện gần nhất, wifi gần nhất
Row 5: 4 | 🔍 Map Filtering & Search | Lọc điểm theo loại, khoảng cách, đánh giá, trạng thái; search theo tên | Mapbox + PostGIS + Elasticsearch | 1. User chọn filters → 2. Build PostGIS query with ST_DWithin + type filter → 3. Elasticsearch for text search → 4. Intersect results → 5. Re-render markers → 6. Update count badge | map_points + map_categories Elasticsearch index | Smart search: sửa typo, gợi ý, hiểu intent (ví dụ: 'chỗ học gần đây' → lọc study spaces nearby) | Filtered map view, search results list, active filter chips | Tìm trường THPT quận X, tìm wifi miễn phí gần đây
Row 6: 5 | 🫧 Map Clustering | Gom nhóm markers khi zoom out, hiển thị số lượng, expand khi click | Mapbox + Supercluster | 1. Load all points in viewport → 2. Supercluster algorithm (zoom-dependent) → 3. Render cluster circles (size = count) → 4. Click cluster → zoom in → 5. At max zoom → show individual markers → 6. Spider-fy overlapping markers | map_points (coordinates + category) | Không | Clustered map view, smooth zoom transitions, spider markers | Tránh visual clutter khi có nhiều điểm
Row 7: 6 | 🤖 AI Recommendation theo khu vực | AI gợi ý điểm học tập, cơ hội, mentor phù hợp theo vị trí user | PostGIS + Python AI service | 1. Get user location → 2. Fetch nearby opportunities (PostGIS radius) → 3. Filter by user profile (interests, grade) → 4. AI rank by relevance → 5. Return top 10 → 6. Show on map + list | map_points + opportunities + user_preferences Interaction history | Recommendation engine: collaborative + content-based + geo-context filtering | Personalized map pins (highlighted), recommendation cards overlay | Student mở app → thấy ngay cơ hội phù hợp gần mình
Row 8: 7 | 🔴 Phát hiện khu vực thiếu giáo dục | AI phân tích dữ liệu → xác định vùng trắng giáo dục, vùng cần ưu tiên | PostGIS + GeoPandas + Scikit-learn | 1. Grid hóa bản đồ (H3 hexagons) → 2. Count education points per hex → 3. Get population density per hex → 4. Calculate education access score = points/population → 5. Classify: sufficient/moderate/critical → 6. Spatial clustering (DBSCAN) → 7. Generate priority regions → 8. Alert admin | map_points + census data + government education data | K-Means clustering để nhóm vùng tương tự Anomaly detection cho outliers Prediction: xu hướng tương lai | Priority map overlay (red zones), report with recommendations, admin alerts | Sở GD&ĐT xác định vùng cần hỗ trợ, nhà tài trợ chọn nơi đầu tư
Row 9: 8 | 📊 Education Data Analytics Map | Dashboard bản đồ phân tích dữ liệu giáo dục: tỷ lệ đi học, kết quả, giáo viên | Mapbox + D3.js + PostGIS | 1. Select metric (enrollment, teachers, results) → 2. Choropleth map by district → 3. Click district → drill down to schools → 4. Compare metrics over time → 5. Trend charts → 6. Export report | education_stats + government data + EduMap collected data | AI prediction: dự đoán xu hướng giáo dục 1-3 năm tới Correlation analysis giữa metrics | Choropleth map, drill-down, time-series charts, comparison tool, PDF report export | Nhà quản lý giáo dục phân tích, báo cáo, ra quyết định
Row 10: 9 | 🏘️ Community Support Mapping | Bản đồ nhu cầu cộng đồng: nơi cần sách, thiết bị, giáo viên, wifi | Mapbox + PostGIS + crowdsource | 1. Community report needs (form + map pin) → 2. Admin verify → 3. Display on map (need type icons) → 4. Donors/volunteers browse needs → 5. Match support → 6. Track fulfillment → 7. Update status → 8. Impact visualization | survey_responses + community reports + donation_campaigns | AI matching: tự động ghép người hỗ trợ phù hợp nhất với nhu cầu | Need pins on map (color by type), matching dashboard, impact tracker | Cộng đồng báo cáo nhu cầu → volunteer/sponsor hỗ trợ đúng nơi cần
Row 11: 10 | 📡 Realtime Location | Tracking vị trí realtime cho xe tri thức lưu động, đội tình nguyện | Mapbox + WebSocket + GPS | 1. Mobile app track GPS → 2. Send location via WebSocket → 3. Backend update position → 4. Broadcast to viewers → 5. Render moving marker → 6. Show route trail → 7. ETA calculation | GPS from mobile devices WebSocket connections | Không | Live moving markers, route trail, ETA, status updates | Theo dõi xe thư viện lưu động, đội tình nguyện mùa hè xanh
