--- SHEET: 8. Cấu Trúc Code ---

Row 1: # | Thư mục/File | Mục đích | Công nghệ | Ghi chú
Row 2: 1 | 📁 frontend/ | NextJS web application | NextJS 14, React 18, TypeScript | App Router, SSR/SSG
Row 3: 2 | 📁 src/app/ | App Router pages & layouts | NextJS | File-based routing
Row 4: 3 | 📁 (auth)/login/page.tsx | Trang đăng nhập | React, NextAuth | Server component
Row 5: 4 | 📁 (auth)/register/page.tsx | Trang đăng ký | React | Multi-step form
Row 6: 5 | 📁 (main)/page.tsx | Home page | React | Landing page
Row 7: 6 | 📁 (main)/map/page.tsx | Trang bản đồ | Mapbox GL JS | Dynamic import (no SSR)
Row 8: 7 | 📁 (main)/library/page.tsx | Kho học liệu | React | SSR + client filter
Row 9: 8 | 📁 (main)/opportunities/page.tsx | Bản đồ cơ hội | Mapbox | Client-side rendering
Row 10: 9 | 📁 (main)/community/page.tsx | Cộng đồng | React | Realtime WebSocket
Row 11: 10 | 📁 (main)/ai-chat/page.tsx | AI Chat | React | Streaming response
Row 12: 11 | 📁 (main)/green/page.tsx | Green Campus | React, Mapbox | Gamification integration
Row 13: 12 | 📁 (main)/workshops/page.tsx | Workshops | React | Calendar integration
Row 14: 13 | 📁 (main)/mentoring/page.tsx | Mentoring | React, WebRTC | Video call integration
Row 15: 14 | 📁 (main)/donate/page.tsx | Quyên góp | React | Payment integration
Row 16: 15 | 📁 (main)/career/page.tsx | Career Roadmap | React, D3.js | Interactive visualization
Row 17: 16 | 📁 (admin)/dashboard/page.tsx | Admin Dashboard | React, Chart.js | Protected route
Row 18: 17 | 📁 layout.tsx | Root layout | NextJS | Navbar, Footer, Providers
Row 19: 18 | 📁 src/components/ | Reusable components | React | Atomic design pattern
Row 20: 19 | 📁 ui/ | Base UI (Button, Input, Modal, Card) | React, CSS Modules | Design system
Row 21: 20 | 📁 map/ | Map components (MapView, Marker, Popup) | Mapbox GL JS | Lazy loaded
Row 22: 21 | 📁 ai/ | AI Chat components | React | Streaming support
Row 23: 22 | 📁 gamification/ | Badge, Leaderboard, Points | React | Animations
Row 24: 23 | 📁 layout/ | Navbar, Sidebar, Footer | React | Responsive
Row 25: 24 | 📁 src/hooks/ | Custom React hooks | TypeScript | useMap, useAuth, useAI, useRealtime
Row 26: 25 | 📁 src/services/ | API service layer | Axios/Fetch | apiClient, mapService, aiService
Row 27: 26 | 📁 src/stores/ | State management | Zustand | authStore, mapStore, uiStore
Row 28: 27 | 📁 src/styles/ | Global styles & design tokens | CSS Modules, CSS Variables | Dark mode, responsive
