--- SHEET: 9. Kiến Trúc Hệ Thống ---

Row 1: # | Thành phần | Mô tả | Công nghệ | Vì sao dùng | Ưu điểm | Nhược điểm | Module phù hợp | Scalability | Security | Cost
Row 2: 1 | Frontend Web | Single Page Application với SSR | NextJS 14 + TypeScript | App Router, SSR/SSG tốt cho SEO, React ecosystem lớn | SEO tốt, performance, DX tốt, ecosystem | Learning curve, build time | Tất cả module web | Horizontal scale qua Vercel/CDN | CSP, CORS, XSS prevention | Free tier Vercel, ~$20/month pro
Row 3: 2 | Frontend Mobile | Cross-platform mobile app | Flutter 3 + Dart | Single codebase iOS+Android, UI đẹp native-like, offline support | 1 codebase, performance native-like, rich UI | Bundle size, limited web support | Map, offline library, notification, chat | App store distribution | Certificate pinning, secure storage | Free (open source)
Row 4: 3 | Backend API | RESTful API server chính | NestJS + TypeScript | Modular architecture, TypeScript, decorator pattern, microservice ready | Clean architecture, testable, scalable, TypeScript | Verbose, decorator complexity | Tất cả backend logic | Horizontal scale, microservice split | Helmet, CORS, rate limit, validation | $10-50/month VPS
Row 5: 4 | AI Service | AI/ML microservice | Python + FastAPI | Python ML ecosystem, FastAPI performance, async support | Fast, async, ML libraries, auto docs | Separate service, Python GIL | AI chat, recommendation, analytics, career | GPU scaling, model serving | API key, content filter, rate limit | $50-200/month (GPU)
Row 6: 5 | Primary Database | Relational database chính | PostgreSQL 16 + PostGIS | ACID compliance, PostGIS geospatial, JSON support, mature | Reliable, PostGIS, JSONB, extensions | Vertical scaling limit | Users, events, materials, opportunities | Read replicas, partitioning | Encryption at rest, SSL, RBAC | $15-100/month managed
Row 7: 6 | Document Store | Flexible data storage | MongoDB | Schema flexibility cho AI logs, survey responses, dynamic content | Flexible schema, horizontal scale | No ACID across collections | AI logs, surveys, analytics, chat | Sharding, replica sets | Encryption, auth | $0-57/month Atlas
Row 8: 7 | Cache Layer | In-memory caching & realtime | Redis 7 | Sub-ms latency, pub/sub, sorted sets cho leaderboard | Blazing fast, versatile data structures | Memory limited, no persistence default | Leaderboard, session, cache, realtime counters | Redis Cluster | ACL, encryption in transit | $0-25/month
Row 9: 8 | Search Engine | Full-text search | Elasticsearch 8 | Fast full-text search, fuzzy matching, faceted search | Fast search, relevance scoring, aggregations | Resource heavy, complex ops | Library search, map search, opportunity search | Horizontal scale | API security, field-level | $30-100/month
Row 10: 9 | Object Storage | File & media storage | MinIO / AWS S3 | Scalable file storage, CDN integration, presigned URLs | Unlimited storage, cheap, CDN | Egress costs, eventual consistency | Materials, avatars, proofs, certificates | Unlimited | IAM, encryption, presigned URLs | $5-50/month
Row 11: 10 | Map Service | Map tiles & geocoding | Mapbox GL JS + Google Maps API | Vector tiles performance, custom styling, geocoding accuracy | Beautiful maps, fast rendering, customizable | Cost at scale, internet required | Bản đồ, opportunities, green, wifi, STEM | CDN distributed | API key restrictions | Free 50K loads, then $0.5/1000
