--- SHEET: 4. Vai Trò & Phân Quyền ---

Row 1: Vai trò | Mô tả | Xem | Tạo | Sửa | Xóa | Quản trị | Chức năng chính | Giới hạn | Security Level | Flow hoạt động
Row 2: 👤 Guest | Khách chưa đăng nhập | Bản đồ, học liệu public, sự kiện public | Không | Không | Không | Không | Xem bản đồ, tìm kiếm, xem tài liệu miễn phí | Không chat AI, không join group, không đăng ký event | 🟢 Low | Vào app→Xem map→Tìm kiếm→Xem tài liệu→Đăng ký tài khoản
Row 3: 🎓 Student | Học sinh/Sinh viên - người dùng chính | Tất cả public + personalized | Bài đăng, comment, bookmark, đăng ký event | Profile, settings, bookmarks | Bài đăng/comment của mình | Không | Chat AI, học liệu, community, gamification, opportunity map, career roadmap, đặt mentor, đăng ký event/workshop | Không upload tài liệu chính thức, không quản lý event | 🟡 Medium | Đăng ký→Xác thực→Setup profile→Explore map→Học tập→Tham gia community→Earn badges
Row 4: 🧑‍🏫 Mentor | Người hướng dẫn, tư vấn | Tất cả + mentee data | Lịch mentor, tài liệu, bài đăng, session | Profile, lịch, tài liệu mình upload | Session/tài liệu mình tạo | Không | Mentoring, video call, gợi ý career, đánh giá mentee, tạo content | Không quản trị hệ thống, giới hạn 20 mentee | 🟡 Medium | Đăng ký mentor→Verify→Set availability→Nhận booking→Video call→Đánh giá→Certificates
Row 5: 🤝 Volunteer | Tình nguyện viên | Tất cả public + volunteer dashboard | Hoạt động TN, campaign, bài đăng | Profile, hoạt động mình tạo | Hoạt động mình tạo | Không | Dạy học TN, tham gia campaign, track giờ, nhận chứng nhận, donate, share sách | Không quản trị, cần approve cho campaign lớn | 🟡 Medium | Đăng ký→Verify→Tham gia campaign→Log hours→Earn certificates→Leaderboard
Row 6: 👩‍🏫 Teacher | Giáo viên | Tất cả + class management | Tài liệu, đề thi, lớp học, workshop, khảo sát | Content mình tạo, lớp mình quản lý | Content/lớp mình tạo | Quản lý lớp mình | Upload học liệu chính thức, tạo lớp, tạo workshop, khảo sát, STEM lab | Không quản trị toàn hệ thống | 🟡 Medium | Đăng ký→Verify trường→Upload tài liệu→Tạo lớp/workshop→Quản lý học sinh→Analytics
Row 7: 🏫 School | Trường THPT | Dashboard trường, học sinh, giáo viên | Sự kiện trường, tài liệu, campaign | Thông tin trường, sự kiện trường | Sự kiện trường đã tạo | Quản lý trường mình | Dashboard trường, quản lý GV, sự kiện, kết nối ĐH, STEM lab, green campus | Chỉ quản lý trong scope trường | 🟠 High | Đăng ký→Verify→Setup trường→Thêm GV→Tạo sự kiện→Dashboard→Analytics
Row 8: 🎓 University | Đại học | Dashboard ĐH, sinh viên, khoa | Chương trình, workshop, mentoring, internship | Thông tin ĐH, chương trình | Chương trình mình tạo | Quản lý ĐH mình | Quản lý sinh viên, mentor program, workshop ĐH, kết nối DN, internship, STEM lab | Chỉ quản lý trong scope ĐH | 🟠 High | Đăng ký→Verify→Setup ĐH→Kết nối khoa→Tạo chương trình→Dashboard→Scale
Row 9: 🏢 Business | Doanh nghiệp | Dashboard DN, internship, sponsorship | Internship, sponsorship, workshop DN | Thông tin DN, posting mình tạo | Posting mình tạo | Quản lý trang DN | Đăng internship, tài trợ học bổng, workshop, career fair, kết nối sinh viên | Cần verify DN, nội dung được review | 🟠 High | Đăng ký→Verify DN→Setup profile→Post internship/scholarship→Tài trợ→Analytics
Row 10: 💎 Sponsor | Nhà tài trợ | Dashboard sponsor, impact report | Campaign quyên góp, tài trợ | Campaign mình tạo | Campaign mình tạo | Quản lý campaign | Tạo campaign, donate, theo dõi impact, nhận report, badge nhà tài trợ | Cần verify, donation audit | 🟠 High | Đăng ký→Verify→Tạo campaign→Donate→Track impact→Nhận report
Row 11: 🔧 Moderator | Người kiểm duyệt | Tất cả content | Report, warning | Approve/reject content, user status | Hide/remove vi phạm | Kiểm duyệt nội dung | Review content, xử lý report, ban user, approve tài liệu, moderate community | Không quản trị system, không xem finance | 🟠 High | Nhận queue review→Check content→Approve/Reject→Handle reports→Escalate
Row 12: ⚙️ Admin | Quản trị viên | Toàn bộ hệ thống | Users, roles, settings, reports | Tất cả | Soft delete tất cả | Quản trị full (trừ super) | User management, system settings, analytics, reports, content moderation, support | Không đổi super admin settings, không xóa hard | 🔴 Critical | Login→Dashboard→Manage users→Monitor system→Handle issues→Generate reports
Row 13: 👑 Super Admin | Quản trị cao nhất | Toàn bộ + system logs + billing | Tất cả + admin accounts | Tất cả + system config | Hard delete, system reset | Full control | Toàn bộ + system config, billing, deployment, DB management, API keys, security settings | Không giới hạn | 🔴 Critical | Full system access→Config→Deploy→Monitor→Security audit→Backup
